index,country,count,meangross,meanbudget,totalgross,meanrating
0,USA,4683,42205823.70190049,37743247.44327391,197649872396.0,6.248729446935725
1,UK,672,21121163.541666668,33937231.40495868,14193421900.0,6.695684523809524
2,Australia,78,20788653.397435896,31341388.888888888,1621514965.0,6.71025641025641
3,Italy,50,3644446.54,11423076.923076924,182222327.0,6.984
4,France,274,11013995.773722628,28826851.85185185,3017834842.0,6.876642335766423
5,Sweden,18,2185394.222222222,7333333.333333333,39337096.0,7.411111111111111
6,Japan,67,17390775.05970149,22414814.814814813,1165181929.0,6.982089552238806
7,Spain,56,8487407.964285715,24150000.0,475294846.0,7.044642857142857
8,Switzerland,6,3181098.8333333335,18000000.0,19086593.0,7.766666666666667
9,Canada,140,16324301.264285713,23964873.417721517,2285402177.0,6.2335714285714285
10,Israel,5,1415981.4,2750000.0,7079907.0,6.54
11,Netherlands,11,2479847.909090909,17500000.0,27278327.0,7.1
12,Argentina,12,3810995.75,2266666.6666666665,45731949.0,7.358333333333333
13,West Germany,3,3026337.0,,9079011.0,7.7
14,Denmark,32,1204576.6875,9980000.0,38546454.0,7.16875
15,Hong Kong,39,15261857.615384616,33134942.555555556,595212447.0,6.9512820512820515
16,Ireland,44,7398459.5,15568421.05263158,325532218.0,6.859090909090909
17,South Africa,9,37839764.88888889,37500000.0,340557884.0,6.155555555555556
18,Iran,12,1229659.6666666667,276666.6666666667,14755916.0,7.916666666666667
19,New Zealand,18,51849430.722222224,64236363.63636363,933289753.0,7.355555555555555
20,Germany,133,24054467.87218045,39422043.010752685,3199244227.0,6.336842105263158
21,China,24,41884770.0,92533333.33333333,1005234480.0,7.358333333333333
22,Soviet Union,1,169410.0,,169410.0,7.5
23,Mexico,14,9103106.142857144,5880000.0,127443486.0,6.885714285714286
24,Belgium,17,924980.5294117647,29666666.666666668,15724669.0,7.3
25,Taiwan,8,18034066.25,8350000.0,144272530.0,7.4875
26,India,39,2660155.3846153845,8944122.8,103746060.0,7.682051282051282
27,Austria,6,11534211.166666666,19450000.0,69205267.0,7.183333333333334
28,Portugal,2,3195481.0,25000000.0,6390962.0,6.300000000000001
29,Cuba,1,2080805.0,,2080805.0,7.5
30,Peru,1,57362581.0,45000000.0,57362581.0,5.5
31,Republic of Macedonia,1,763847.0,1900000.0,763847.0,8.1
32,Russia,10,3090899.1,11571428.57142857,30908991.0,6.95
33,Greece,5,1776290.6,,8881453.0,6.92
34,Norway,8,262567.875,5900000.0,2100543.0,6.9875
35,Romania,4,4755652.75,6250000.0,19022611.0,7.125
36,Jamaica,1,9630169.0,3000000.0,9630169.0,6.0
37,Federal Republic of Yugoslavia,1,348660.0,,348660.0,8.1
38,Aruba,1,10076136.0,35000000.0,10076136.0,4.8
39,Brazil,5,2696191.6,3400000.0,13480958.0,8.1
40,Czech Republic,8,1787475.125,37200000.0,14299801.0,6.425
41,South Korea,20,1381842.9,10090909.090909092,27636858.0,7.345
42,Hungary,6,4293946.666666667,15500000.0,25763680.0,7.15
43,Finland,3,36149050.666666664,73000000.0,108447152.0,6.533333333333333
44,Thailand,3,5549728.333333333,,16649185.0,6.966666666666667
45,Colombia,2,3923223.5,2200000.0,7846447.0,7.7
46,Palestine,1,1452402.0,,1452402.0,7.5
47,Indonesia,2,3365463.0,2800000.0,6730926.0,7.8
48,Saudi Arabia,1,1347578.0,,1347578.0,7.6
49,Chile,4,7357465.0,17500000.0,29429860.0,7.025
50,Poland,2,1962939.0,,3925878.0,6.85
51,Kenya,1,2716989.0,20000000.0,2716989.0,7.4
52,Bahamas,1,48817.0,,48817.0,5.3
53,Ukraine,1,150564.0,,150564.0,7.1
54,Iceland,1,118483.0,,118483.0,6.0
55,Malta,1,52853219.0,50000000.0,52853219.0,7.3
56,Panama,1,4711736.0,20000000.0,4711736.0,6.6
