title,year,All Intl,Total Gross,USA,"Europe, Middle East, and Africa",Latin America,Asia Pacific,China
Star Wars: Episode IV - A New Hope,1977,195751992,503015849,307263857,no data,no data,no data,no data
Close Encounters of the Third Kind,1977,171700000,288095460,116395460,no data,no data,no data,no data
Saturday Night Fever,1977,142900000,237113184,94213184,no data,no data,no data,no data
Smokey and the Bandit,1977,0,126737428,126737428,no data,no data,no data,no data
A Bridge Too Far,1977,0,50750000,50750000,no data,no data,no data,no data
The Deep,1977,0,47346365,47346365,no data,no data,no data,no data
The Spy Who Loved Me,1977,0,46838673,46838673,no data,no data,no data,no data
"Oh, God!",1977,0,41687243,41687243,no data,no data,no data,no data
Annie Hall,1977,0,38251425,38251425,no data,no data,no data,no data
Semi-Tough,1977,0,37187139,37187139,no data,no data,no data,no data
Pete's Dragon,1977,0,35488000,35488000,no data,no data,no data,no data
Heroes,1977,0,33500000,33500000,no data,no data,no data,no data
High Anxiety,1977,0,31063038,31063038,no data,no data,no data,no data
Exorcist II: The Heretic,1977,0,30749142,30749142,no data,no data,no data,no data
The Rescuers,1977,0,29000000,29000000,no data,no data,no data,no data
Slap Shot,1977,0,28000000,28000000,no data,no data,no data,no data
Herbie Goes to Monte Carlo,1977,0,28000000,28000000,no data,no data,no data,no data
The Gauntlet,1977,0,26414658,26414658,no data,no data,no data,no data
The Turning Point,1977,0,25933445,25933445,no data,no data,no data,no data
Freaky Friday,1977,0,25642000,25642000,no data,no data,no data,no data
The Other Side of Midnight,1977,0,24652021,24652021,no data,no data,no data,no data
Looking for Mr. Goodbar,1977,0,22512655,22512655,no data,no data,no data,no data
Julia,1977,0,20714400,20714400,no data,no data,no data,no data
The Bad News Bears in Breaking Training,1977,0,19104350,19104350,no data,no data,no data,no data
For the Love of Benji,1977,0,17732000,17732000,no data,no data,no data,no data
"New York, New York",1977,0,16400000,16400000,no data,no data,no data,no data
Black Sunday,1977,0,15769322,15769322,no data,no data,no data,no data
Orca,1977,0,14717854,14717854,no data,no data,no data,no data
Bobby Deerfield,1977,0,9300000,9300000,no data,no data,no data,no data
Islands in the Stream,1977,0,5596173,5596173,no data,no data,no data,no data
"Race for Your Life, Charlie Brown",1977,0,3223888,3223888,no data,no data,no data,no data
March or Die,1977,0,1000000,1000000,no data,no data,no data,no data
Joseph Andrews,1977,0,839865,839865,no data,no data,no data,no data
Citizens Band,1977,0,815530,815530,no data,no data,no data,no data
Fraternity Row,1977,0,290674,290674,no data,no data,no data,no data
Grease,1978,206200000,366178870,159978870,26964,no data,no data,no data
Superman,1978,166000000,300218018,134218018,no data,no data,no data,no data
Jaws 2,1978,106118000,183855272,77737272,no data,no data,no data,no data
National Lampoon's Animal House,1978,0,120091123,120091123,no data,no data,no data,no data
Every Which Way but Loose,1978,0,85196485,85196485,no data,no data,no data,no data
Heaven Can Wait,1978,0,81640278,81640278,no data,no data,no data,no data
Hooper,1978,0,78000000,78000000,no data,no data,no data,no data
Revenge of the Pink Panther,1978,0,49579269,49579269,no data,no data,no data,no data
The Deer Hunter,1978,12498,48991826,48979328,12498,no data,no data,no data
Halloween,1978,0,47000000,47000000,no data,no data,no data,no data
Foul Play,1978,0,44999621,44999621,no data,no data,no data,no data
The End,1978,0,44917151,44917151,no data,no data,no data,no data
Up in Smoke,1978,0,44364244,44364244,no data,no data,no data,no data
Midnight Express,1978,0,35000000,35000000,no data,no data,no data,no data
Coming Home,1978,0,32653905,32653905,no data,no data,no data,no data
The Lord of the Rings,1978,0,30471420,30471420,no data,no data,no data,no data
House Calls,1978,0,28460702,28460702,no data,no data,no data,no data
Omen II: Damien,1978,0,26518355,26518355,no data,no data,no data,no data
Invasion of the Body Snatchers,1978,0,24946533,24946533,no data,no data,no data,no data
Convoy,1978,0,22765081,22765081,no data,no data,no data,no data
The Wiz,1978,0,21049053,21049053,no data,no data,no data,no data
F.I.S.T.,1978,0,20388920,20388920,no data,no data,no data,no data
Sgt. Pepper's Lonely Hearts Club Band,1978,0,20378470,20378470,no data,no data,no data,no data
Eyes of Laura Mars,1978,0,20000000,20000000,no data,no data,no data,no data
The One and Only,1978,0,16928137,16928137,no data,no data,no data,no data
Return from Witch Mountain,1978,0,16393000,16393000,no data,no data,no data,no data
Corvette Summer,1978,0,15514367,15514367,no data,no data,no data,no data
The Greek Tycoon,1978,0,14672713,14672713,no data,no data,no data,no data
Death on the Nile,1978,0,14560084,14560084,no data,no data,no data,no data
The Buddy Holly Story,1978,0,14363400,14363400,no data,no data,no data,no data
