,year,All Intl,Total Gross,USA,"Europe, Middle East, and Africa",Latin America,Asia Pacific,China,USA%,"Europe, Middle East, and Africa%",Latin America%,Asia Pacific%,China%,International%
0,1977,510351992,1883481781,1373129789,0,0,0,0,0.7290379991204173,0.0,0.0,0.0,0.0,0.27096200087958267
1,1978,478330498,2030670250,1552339752,39462,0,0,0,0.7644469859151184,1.943299262891156e-05,0.0,0.0,0.0,0.2355530140848816
2,1979,223473131,2180990495,1957517364,10632003,2610300,9530828,0,0.897535944557154,0.004874850681089282,0.0011968415295638415,0.004369953936915255,0.0,0.10246405544284598
3,1980,248685234,2547675062,2298989828,0,0,0,0,0.9023873814564191,0.0,0.0,0.0,0.0,0.09761261854358094
4,1981,148074651,2429948715,2281874064,0,0,0,0,0.9390626435504833,0.0,0.0,0.0,0.0,0.0609373564495167
5,1982,411489888,3277641960,2866152072,151512000,31355000,95687000,0,0.8744555100826205,0.04622591541389713,0.00956632859313285,0.029193853742341035,0.0,0.12554448991737954
6,1983,185217854,2838152118,2652934264,262397,0,0,0,0.9347399835176841,9.245346587867422e-05,0.0,0.0,0.0,0.06526001648231594
7,1984,337837000,3685584045,3347747045,13207073,3918377,7729887,0,0.9083355593373804,0.0035834410065664368,0.0010631631112349251,0.0020973302753702363,0.0,0.09166444066261958
8,1985,741030211,3797391740,3056361529,130751334,9994000,28222133,0,0.804858107422965,0.03443187928775555,0.0026318064303789738,0.0074319782978197555,0.0,0.19514189257703496
9,1986,516870484,3717409511,3200539027,22953605,6142842,17216467,0,0.8609594981476874,0.006174623735178795,0.0016524523278436298,0.004631307621357189,0.0,0.13904050185231265
10,1987,715590640,4278462487,3562871847,149720677,13972243,64175779,0,0.8327458421864621,0.03499403756721544,0.0032657159066964607,0.014999729270736036,0.0,0.16725415781353792
11,1988,1263638673,4829453662,3565814989,137687605,6599985,34189819,0,0.7383474899153096,0.02850997537948838,0.0013666111038462222,0.007079438253858538,0.0,0.26165251008469037
12,1989,2012454719,6167870879,4155416160,238813116,14299734,91363354,0,0.6737197067707941,0.03871889030833909,0.0023184230475198314,0.014812786420524547,0.0,0.32628029322920593
